id,timestamp,x,y,angle
10,118866,332,229,5.167107654
1,118866,437,204,4.333737654
0,118866,217,84,0.486369346
45,118866,489,242,-0.408702967
42,118866,470,247,-0.349547803
33,118866,437,263,2.3760266
37,118866,402,272,0.009998346
10,118899,333,227,5.355889654
1,118899,437,204,4.311439654
0,118899,217,86,0.235149346
33,118899,438,262,2.352194512
37,118899,402,272,6.283183654
45,118900,489,242,0.083792839
42,118900,470,247,-0.441073834
10,118933,332,227,5.081722654
1,118933,437,204,4.320689654
0,118933,216,85,0.274165346
45,118933,489,242,-0.345641735
42,118933,470,247,-0.208906947
33,118933,436,261,2.411304128
37,118933,402,272,0.009998346
10,118966,332,227,5.059450654
1,118966,437,204,4.311439654
0,118966,216,84,0.274165346
45,118966,489,242,-0.44071585
42,118966,470,247,-0.408206025
33,118966,437,261,2.444804818
37,118966,402,273,0.019995346
10,118999,330,228,4.882447654
1,118999,437,204,4.324488654
0,118999,216,85,0.299244346
33,118999,440,263,2.55402559
37,118999,402,273,0.079828346
45,119000,489,242,-0.569804411
42,119000,470,247,-0.398127916
10,119033,329,229,4.967147654
1,119033,437,204,4.311439654
0,119033,213,84,0.193425346
45,119033,489,242,-0.087007192
42,119033,470,247,-0.169330566
33,119033,441,262,2.556202147
37,119033,401,273,0.179852346
10,119066,329,229,4.935419654
1,119066,435,204,4.279981654
0,119066,213,84,0.223029346
45,119066,489,242,-0.279584592
42,119066,470,247,-0.411858108
33,119066,442,264,2.542180602
37,119066,402,273,0.049957346
10,119099,330,228,4.967147654
1,119099,435,204,4.266676654
0,119099,213,84,0.203334346
33,119099,444,261,2.685311394
37,119099,402,272,0.191500346
45,119100,489,242,-0.106870954
42,119100,470,247,-0.19067824
10,119133,329,228,5.117280654
1,119133,436,204,4.324488654
0,119133,213,83,0.225275346
45,119133,489,242,-0.383630147
42,119133,470,247,-0.383581398
33,119133,443,262,2.800218877
37,119133,402,272,0.211091346
10,119166,329,229,5.144796654
1,119166,434,202,4.213042654
0,119166,213,84,0.203334346
45,119166,489,242,-0.373342709
42,119166,470,247,-0.383581398
33,119166,445,261,2.746006531
37,119166,411,276,0.211091346
10,119199,329,230,5.158100654
1,119199,434,202,4.190770654
0,119199,213,82,0.350494346
33,119199,445,262,2.611281245
45,119200,489,242,-0.604022595
42,119200,470,247,-0.142275413
37,119200,411,276,0.211091346
10,119233,329,230,5.144796654
1,119233,435,202,4.190770654
0,119233,214,82,0.267141346
45,119233,489,242,-0.44071585
42,119233,470,247,-0.320867942
33,119233,444,261,2.686974145
37,119233,411,276,0.211091346
10,119266,329,227,5.198254654
1,119266,433,201,4.279981654
0,119266,214,81,0.276907346
45,119266,489,242,-0.577827714
42,119266,470,247,-0.220671232
33,119266,446,261,2.805037259
37,119266,411,276,0.211091346
10,119299,329,228,5.180520654
1,119299,434,201,4.302261654
0,119299,213,82,0.535271346
33,119299,446,259,3.073263439
45,119300,489,242,-0.46850194
42,119300,470,247,-0.256980269
37,119300,411,276,0.211091346
10,119333,329,228,5.180520654
1,119333,434,201,4.302261654
0,119333,212,81,0.495309346
45,119333,489,242,-0.370511253
42,119333,470,247,-0.240882424
33,119333,447,261,2.932785321
37,119333,411,276,0.211091346
10,119366,329,228,5.180520654
1,119366,434,201,4.302261654
0,119366,212,81,0.490545346
45,119366,489,242,-0.373342709
42,119366,470,247,-0.288177042
33,119366,447,259,2.941958709
37,119366,411,276,0.211091346
10,119399,329,229,5.113338654
1,119399,434,201,4.302261654
0,119399,212,81,0.657526346
33,119399,449,262,2.755821908
45,119400,489,242,-0.267569571
42,119400,470,247,-0.067544154
37,119400,411,276,0.211091346
10,119433,329,229,5.144796654
1,119433,434,201,4.289078654
0,119433,213,82,0.778304346
45,119433,489,244,-0.283564154
42,119433,470,247,-0.383581398
33,119433,447,260,2.98149822
37,119433,411,276,0.211091346
10,119466,329,229,5.135699654
1,119466,433,201,4.289078654
0,119466,213,81,0.799479346
45,119466,490,244,-0.545475069
42,119466,470,247,-0.053437449
33,119466,450,260,2.918692421
37,119466,411,276,0.211091346
10,119499,329,230,5.104088654
1,119499,434,201,4.289078654
0,119499,214,83,0.707539346
33,119499,451,263,2.896273507
45,119500,490,244,-0.428039257
42,119500,470,247,-0.131732666
37,119500,411,276,0.211091346
10,119533,329,230,5.135699654
1,119533,433,201,4.289078654
0,119533,213,83,0.743167346
45,119533,490,244,-0.571968992
42,119533,469,245,-0.476376766
33,119533,445,261,2.965825365
37,119533,411,276,0.211091346
10,119566,329,230,5.158100654
1,119566,434,201,4.302261654
0,119566,213,83,0.771312346
45,119566,490,244,0.015383402
42,119566,470,247,-0.288177042
33,119566,448,262,2.816357793
37,119566,411,276,0.211091346
10,119599,332,227,5.319833654
1,119599,434,201,4.171969654
0,119599,213,82,0.799479346
33,119599,448,261,2.830323896
45,119600,490,244,-0.795636713
42,119600,470,247,-0.057436756
42,119600,470,247,-0.057436756
37,119600,411,276,0.211091346
10,119633,332,226,5.355889654
1,119633,434,201,4.185761654
0,119633,210,81,0.540417346
45,119633,490,244,-0.565603092
42,119633,470,247,-0.074057859
33,119633,448,261,2.868635611
37,119633,411,277,0.211091346
10,119666,330,228,5.275256654
1,119666,434,201,4.185761654
0,119666,210,81,0.576796346
45,119666,490,244,-0.380506377
42,119666,470,247,-0.398127916
33,119666,450,262,2.862412713
37,119666,411,277,0.211091346
10,119699,330,228,5.239015654
1,119699,433,201,4.185761654
0,119699,209,80,0.629527346
33,119699,448,261,2.803970416
45,119700,490,244,-0.595069624
42,119700,470,247,-0.057436756
37,119700,411,277,0.211091346
10,119733,330,228,5.211735654
1,119733,433,201,4.199454654
0,119733,208,80,0.913265346
45,119733,490,244,-0.46593071
42,119733,470,247,-0.169330566
33,119733,448,261,2.875744863
37,119733,411,277,0.211091346
10,119766,330,228,5.252808654
1,119766,433,201,4.199454654
0,119766,208,82,1.084927346
45,119766,490,244,-0.653169316
